15,68632,5
18,389728,5
19,68716,4
37,774353,2
38,115682,3
49,388883,5
49,180541,4
50,249051,5
53,52424,5
56,946187,4
56,319105,3
56,183349,5
58,31285,5
58,6757,5
60,450355,4
68,137715,5
68,290317,4
68,294299,5
77,919073,5
77,357888,5
86,116795,1
86,129160,4
86,592429,4
86,283542,4
86,53458,4
91,168720,5
92,872014,4
92,391017,5
94,583035,4
94,226106,2
102,321572,4
110,64301,5
123,43292,4
129,148720,5
131,385612,3
133,774353,4
133,49902,5
134,53368,4
139,293161,4
140,298886,5
148,49742,4
148,157628,3
149,872014,3
149,368333,3
149,8272,4
149,264572,3
149,651198,3
149,328775,4
149,237668,4
149,75782,5
149,385612,4
149,506377,2
149,317744,1
150,94677,4
150,391794,3
150,88418,3
151,913037,3
151,197936,4
152,51405,3
154,178016,3
154,220136,3
173,630195,4
173,190725,4
175,925962,5
175,66328,3
177,96524,5
180,90754,4
184,193499,3
197,366266,4
206,436116,5
216,19098,2
216,135938,5
216,1070,4
216,296334,3
219,217350,1
219,386968,5
221,117556,5
221,31540,5
221,105884,5
221,172443,5
221,32150,5
221,50666,5
221,390098,5
221,180106,5
221,245794,5
221,196450,5
221,288848,5
221,27154,5
223,884890,3
228,355767,5
239,237668,5
239,391794,3
239,256497,3
243,728009,3
248,583035,4
257,20363,4
257,485831,3
266,355760,5
268,65081,4
296,461293,5
305,154230,3
316,31285,5
316,269477,5
318,393293,4
327,697977,4
327,46936,4
328,74999,3
335,314095,5
335,328037,5
335,190973,4
371,133470,4
371,315462,4
372,76488,3
373,884890,3
389,459433,5
389,87516,4
389,355760,5
395,88418,4
405,219577,2
405,414209,4
405,129686,4
405,90754,4
405,260469,4
411,148970,5
418,21180,4
418,211499,4
418,8647,4
418,71632,5
418,724982,5
419,115004,3
430,666389,3
432,21369,5
435,113755,5
436,190725,4
441,150788,4
446,389728,4
459,45637,5
463,75794,4
463,865242,4
483,633058,5
483,175661,3
483,108394,5
484,734404,1
484,716769,2
484,651677,1
486,152769,5
496,46936,5
496,476529,4
511,46154,5
511,262002,3
512,132008,4
516,49936,5
517,213776,3
529,157793,3
529,194387,4
532,266043,4
534,583035,4
537,128498,5
540,103304,4
541,902161,5
542,401452,5
546,821653,4
546,144927,3
546,364545,5
550,872014,3
550,186286,5
550,91720,4
550,728009,3
550,190725,4
550,170419,4
555,22782,5
555,257609,3
555,357677,5
557,215995,5
559,389025,4
563,820908,4
563,321565,3
578,818127,5
580,190766,4
583,253490,3
585,39188,3
585,150132,3
587,366772,2
587,182668,4
601,66639,4
614,91034,5
615,149529,4
622,755605,4
622,180519,4
623,49742,4
630,884890,4
630,857086,5
637,714613,4
637,514320,5
637,889412,3
637,840340,4
637,386483,5
641,752650,3
642,181311,5
642,215581,5
642,107541,5
642,842144,5
642,106098,5
642,177941,5
642,15366,5
642,374455,4
642,716113,4
642,514754,5
644,655747,4
659,609382,3
668,322423,3
670,71632,5
672,253490,4
676,443065,2
676,28032,4
676,42606,5
677,361582,5
689,70650,5
691,101661,5
699,201760,4
700,366742,5
708,177278,4
714,23284,4
716,641859,4
717,204699,3
718,43292,2
724,686278,4
737,421128,4
737,151946,5
737,43325,1
741,903606,1
742,251567,4
743,385366,4
744,714656,5
745,724982,2
748,583035,4
752,721423,1
765,469245,1
786,782604,4
787,127971,4
790,306161,5
798,74999,3
803,111467,4
803,880084,5
803,180481,4
812,288487,4
815,217715,4
818,507180,5
818,745622,4
818,154230,2
830,85110,5
834,30101,4
836,156822,2
838,65219,4
842,138574,3
842,192676,3
842,172079,4
842,385366,3
842,314389,3
852,28724,3
856,745622,4
857,220234,5
867,22835,3
867,111792,4
875,397331,4
884,23284,4
917,149200,5
920,861280,5
965,74999,4
971,24396,3
972,247421,5
972,798609,4
972,388399,3
972,91402,4
999,134054,5
1015,286165,5
1024,194919,5
1028,321677,4
1035,370681,5
1035,85688,3
1042,385612,3
1051,21542,4
1056,826730,4
1057,821393,5
1058,237668,4
1058,314366,5
1070,1070,4
1070,131497,5
1079,64350,5
1083,359089,5
1084,395097,4
1086,356471,4
1086,279615,3
1086,74344,1
1090,177278,1
1091,352779,4
1091,476529,4
1091,3150,3
1094,583035,4
1095,525319,4
1095,828166,4
1098,401127,2
1103,51957,5
1107,317295,5
1111,884890,3
1115,132504,2
1127,574167,4
1127,106056,4
1127,3019,5
1143,15142,5
1151,303595,3
1154,319105,4
1154,395154,3
1154,138695,4
1158,389436,5
1161,354463,5
1161,9852,4
1176,118858,5
1188,180860,3
1201,358746,4
1202,1070,4
1202,182668,5
1204,151946,5
1212,361727,2
1214,744,3
1216,68632,5
1218,8731,5
1222,293382,3
1223,616058,5
1224,92767,4
1224,159599,4
1225,772501,5
1235,389025,4
1236,49693,4
1243,173873,3
1258,53470,4
1259,145101,5
1259,25746,4
1259,129983,5
1264,110504,5
1264,370206,3
1264,49598,5
1277,362860,3
1277,217458,3
1278,469245,4
1293,218357,5
1306,365596,4
1307,126931,3
1339,389728,4
1347,179719,5
1351,180519,3
1357,781898,4
1357,117515,3
1358,96524,3
1359,501275,4
1391,5666,4
1400,24349,5
1400,354065,5
1402,249570,5
1402,113705,5
1402,132643,4
1402,9852,5
1402,73896,5
1404,918206,4
1404,315118,4
1404,326349,3
1405,22923,5
1416,65017,4
1442,281748,4
1443,430019,5
1461,607732,5
1462,180541,3
1463,326195,5
1463,11203,5
1464,283271,3
1465,291745,4
1465,285715,4
1469,33840,3
1473,169618,5
1474,582680,3
1476,360064,4
1483,469245,5
1483,516840,3
1483,70207,5
1494,664880,3
1496,487057,4
1498,192285,5
1498,369062,3
1510,616746,1
1553,290875,5
1578,473,4
1580,46263,1
1581,105881,5
1582,798349,5
1583,323709,1
1586,757702,4
1586,231925,4
1601,514754,4
1602,286165,4
1603,269477,1
1603,49693,2
1604,42639,5
1630,743204,5
1630,64350,5
1646,47835,5
1653,714656,5
1660,256325,4
1661,386968,2
1662,886793,5
1662,701898,5
1664,328775,3
1665,218901,3
1666,893263,1
1672,178016,4
1673,171871,4
1681,685024,1
1685,501275,4
1700,220596,5
1700,148115,4
1700,150132,5
1702,949436,5
1713,728009,4
1713,143034,5
1713,724982,4
1713,48793,4
1713,45627,4
1713,256396,3
1719,69019,5
1794,170419,4
1807,248011,4
1807,175972,4
1816,190145,3
1816,286165,5
1828,828166,4
1828,43793,1
1834,325034,4
1846,692299,5
1849,360381,4
1857,730352,2
1861,30101,4
1861,385612,3
1862,30101,5
1864,796941,4
1868,801415,4
1869,323893,5
1871,257535,4
1871,132144,4
1884,820908,2
1885,74592,4
1885,26531,4
1885,131497,5
1887,95474,1
1906,724566,5
1913,319205,5
1920,115682,2
1920,197226,5
1920,138572,3
1923,921028,2
1924,117556,5
1932,3798,5
1933,343630,2
1933,468337,3
1933,348306,1
1933,230662,4
1933,2269,1
1937,583035,4
1942,228602,5
1944,168720,5
1948,130368,4
1951,323358,3
1951,751223,4
1951,108491,3
1951,719997,5
1951,157628,3
1955,74082,4
1955,358658,4
1971,395114,3
1973,525593,5
1984,901919,4
2006,488909,5
2006,936595,2
2009,350771,2
2009,30553,2
2009,128271,4
2009,805310,4
2009,129333,4
2009,284695,4
2009,88316,3
2009,132480,3
2017,264393,5
2040,256163,3
2040,114160,4
2040,136981,5
2053,74999,4
2053,506685,1
2065,169881,4
2084,365662,5
2109,435544,3
2133,152083,1
2133,798137,1
2134,317295,5
2134,318832,5
2135,74999,4
2135,86311,4
2139,516840,3
2140,314366,2
2148,293300,4
2148,8647,4
2148,5311,4
2165,109622,1
2165,623554,1
2171,287861,5
2171,89196,4
2171,838116,5
2171,712647,5
2186,467850,5
2188,88418,4
2191,667504,2
2191,251424,4
2191,114961,1
2191,684910,5
